_num,id,rank,workers,company,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,revenue_per_employee,growth_category
248,25329,248,385,Lending Club,lending-club,California,CA,San Francisco,San Francisco,1854.1775,98002000.0,Financial Services,1,254550.64935064936,Medium
249,26151,249,24,DrChrono,drchrono,California,CA,Mountain View,San Jose,1834.0544,2863000.0,Health,1,119291.66666666667,Medium
250,25612,250,75,Capstone (Sausalito CA),capstone-sausalito-ca,California,CA,Sausalito,San Francisco,1832.2052,13719024.0,Business Products & Services,1,182920.32,Medium
251,26108,251,4,Alcohol by Volume,alcohol-by-volume,California,CA,Monterey,Salinas CA,1822.9191,4492939.0,Food & Beverage,1,1123234.75,Medium
252,26217,252,54,H.Bloom,hbloom,New York,NY,New York,New York City,1817.2651,7209607.0,Consumer Products & Services,1,133511.24074074073,Medium
253,26409,253,150,Tealium,tealium,California,CA,San Diego,San Diego,1808.4227,12462000.0,Software,1,83080.0,Medium
254,25743,254,360,Boostability,boostability,Utah,UT,Lehi,Provo-Orem UT,1806.2091,22344907.0,Advertising & Marketing,1,62069.186111111114,Medium
255,25558,255,42,Solve Media,solve-media,New York,NY,New York,New York City,1798.0949,13031655.0,Advertising & Marketing,1,310277.5,Medium
256,24869,256,22,Heartland Energy Partners,heartland-energy-partners,Virginia,VA,Arlington,Washington DC,1797.1091,2117648.0,Business Products & Services,1,96256.72727272728,Medium
257,22893,257,105,Bridger,bridger,Texas,TX,Addison,Dallas,1792.1589,3487872233.0,Energy,2,33217830.79047619,Medium
258,26431,258,200,Jeunesse Global,jeunesse-global,Florida,FL,Altamonte Springs,Orlando FL,1787.997,224009679.0,Consumer Products & Services,1,1120048.395,Medium
259,22965,259,52,Touchsuite,touchsuite,Florida,FL,Boca Raton,Miami,1769.7794,19209927.0,Software,2,369421.67307692306,Medium
260,23141,260,29,Acceleration Partners,acceleration-partners,Massachusetts,MA,Needham,Boston,1768.0759,8711828.0,Advertising & Marketing,2,300407.8620689655,Medium
261,26286,261,22,Moore Heating & Air Conditioning,moore-heating-air-conditioning,California,CA,Santa Rosa,Santa Rosa-Petaluma CA,1757.6285,3124754.0,Construction,1,142034.27272727274,Medium
262,23427,262,16,Optimatic Media,optimatic-media,New York,NY,New York,New York City,1753.3284,34313968.0,Advertising & Marketing,2,2144623.0,Medium
263,25991,263,15,EPI Engineering,epi-engineering,Texas,TX,Houston,Houston,1750.9113,2005777.0,Engineering,1,133718.46666666667,Medium
264,25319,264,100,Simplicity Laser,simplicity-laser,Utah,UT,Lindon,Provo-Orem UT,1743.2007,4995074.0,Consumer Products & Services,1,49950.74,Medium
265,21161,265,15,Cinium Financial Services,cinium-financial-services,Florida,FL,Miami,Miami,1742.3365,4442684.0,Financial Services,3,296178.93333333335,Medium
266,23017,266,70,TNH Advanced Specialty Pharmacy,tnh-advanced-specialty-pharmacy,California,CA,Van Nuys,Los Angeles,1734.4746,101455802.0,Health,2,1449368.6,Medium
267,25674,267,142,Human Movement Management,human-movement-management,Colorado,CO,Louisville,Boulder CO,1724.3576,9054816.0,Consumer Products & Services,1,63766.30985915493,Medium
268,25622,268,47,Allegheny Science & Technology,allegheny-science-technology,West Virginia,WV,Bridgeport,Unknown,1723.2877,7023359.0,Government Services,1,149433.17021276595,Medium
269,22994,269,110,Hudl,hudl,Nebraska,NE,Lincoln,Lincoln NE,1707.5863,22326800.0,Software,2,202970.9090909091,Medium
270,25092,270,69,GuideSpark,guidespark,California,CA,Menlo Park,San Francisco,1703.5556,4058000.0,Software,1,58811.59420289855,Medium
271,25160,271,25,Optimus Technology,optimus-technology,Maryland,MD,Columbia,Baltimore,1701.5569,2086383.0,IT Services,1,83455.32,Medium
272,26438,272,22,Luxe Royale,luxe-royale,Nevada,NV,Las Vegas,Las Vegas-Paradise NV,1696.071,2265115.0,Travel & Hospitality,1,102959.77272727272,Medium
273,24928,273,8,SoluComp,solucomp,Illinois,IL,South Barrington,Chicago,1694.0032,2213172.0,Telecommunications,1,276646.5,Medium
274,24922,274,15,RPM Freight Systems,rpm-freight-systems,Michigan,MI,Royal Oak,Detroit,1683.3663,4647952.0,Logistics & Transportation,1,309863.4666666667,Medium
275,25684,275,24,Motivational Press,motivational-press,California,CA,Carlsbad,San Diego,1675.0,2343000.0,Media,1,97625.0,Medium
276,25951,276,41,Accordant Media,accordant-media,New York,NY,New York,New York City,1663.0114,27119347.0,Advertising & Marketing,1,661447.487804878,Medium
277,23059,277,100,iQuanti,iquanti,New Jersey,NJ,Hoboken,New York City,1654.4182,5001355.0,Advertising & Marketing,2,50013.55,Medium
278,26075,278,268,Bareburger,bareburger,New York,NY,Long Island City,New York City,1652.3627,31150000.0,Food & Beverage,1,116231.34328358209,Medium
279,22972,279,74,BMA,bma,Kansas,KS,Leavenworth,Kansas City MO-KS,1651.8539,14580032.0,Government Services,2,197027.45945945947,Medium
280,22959,280,73,CoverMyMeds,covermymeds,Ohio,OH,Twinsburg,Akron OH,1647.939,18691673.0,Health,2,256050.31506849316,Medium
281,26283,281,40,Entrada,entrada,Tennessee,TN,Brentwood,Nashville,1627.8717,5780975.0,IT Services,1,144524.375,Medium
282,21743,282,14,MES,mes,Ohio,OH,Lewis Center,Columbus OH,1620.9718,20354071.0,Logistics & Transportation,3,1453862.2142857143,Medium
